SEP=;
File;pelvis;lowerSpine;middleSpine;upperSpine;rightClavicle;rightShoulder;rightElbow;rightWrist;leftClavicle;leftShoulder;leftElbow;leftWrist;rightHip;rightKnee;rightAnkle;leftHip;leftKnee;leftAnkle
Lunge_Error2;front;front;front;front;front;front;front_left_down;front;front;front;front;front;front;down;None;front;down;None
Lunge_Error2;front;front;front;front;front;front;front_left;None;front;front_down;right;front;front;left_down;None;front;left_down;None
Lunge_Error2;front;front;front;front;front;front;front_left;front;front;front;front_right;front;front;left_down;None;front;left_down;None
Lunge_Error2;front;front;front;front;front;front;front;front;front;front;front_right;front;front;down;None;front;down;None
Lunge_Error3;None;None;back;back;None;None;None;None;None;None;back;None;None;None;None;None;None;None
Lunge_Error3;up;up;up;up;up;up;up;up;up;up;up;up;up;back_up;None;up;back_up;None
Lunge_Error3;up;up;up;up;up;up;up;up;up;up;up;up;up;None;None;up;None;None
Lunge_Error3;up;up;up;up;up;up;up;up;up;up;up;up;up;None;None;up;None;None
Pushup_Error1;down;down;back_down;back;back;back;down;None;back;back;back_down;back;down;back_down;back;down;back_down;back
Pushup_Error1;back;back;back;back;back;back;down;None;back;back;back;None;back;back;back;back;back;back
Pushup_Error1;back;back;back;back;back;back;down;None;back;back;back;None;back;back;back;back;back;back
Pushup_Error2;back;back;back;back;back;back;down;None;back;back;left;None;back;back;back;back;back;back
Pushup_Error2;back;back;back;back;back;back;down;None;back;back;left_down;None;back;back;back;back;back;back
Pushup_Error2;back;back;back;back;back;back;down;None;back;back;left_down;None;back;back;back;back;back;back
Pushup_Error3;back;back_up;back_up;back_up;back_up;back_up;down;None;back_up;back_up;back;right;back;back;back;back;back;back
Pushup_Error3;back;back_up;back_up;back_up;back_up;back_up;down;None;back_up;back_up;back_down;right;back;back;back;back;back;back
Pushup_Error3;back;back;back_up;back_up;back_up;back_up;down;None;back_up;back_up;back;right;back;back;back;back;back;back
Squat_Error1;back;None;None;front_down;front_down;front_down;front_down;front_down;front_down;front_down;down;down;back;None;None;back;None;None
Squat_Error1;down;down;down;front_down;front_down;front_down;front_down;front_down;front_down;front_down;front_down;front_down;down;front_down;None;down;front_down;None
Squat_Error1;None;None;front;front_down;front_down;front_down;front_down;front_down;front_down;front_down;down;down;back;None;None;back;None;None
Squat_Error1;back;None;None;front_down;front_down;front_down;front_down;front_down;front_down;front_down;down;down;back;None;None;back;None;None
Squat_Error2;down;down;down;down;down;down;down;down;down;down;down;down;down;down;None;down;down;None
Squat_Error2;None;None;None;None;None;None;None;left;None;None;None;None;None;None;None;None;None;None
Squat_Error2;None;None;None;None;None;None;front;front;None;None;down;down;None;None;None;None;None;None
Squat_Error2;None;None;None;front;front;front;front;front;front;front;front;front_down;None;None;None;None;None;None
Squat_Error3;front_up;up;up;up;up;up;up;left;up;up;up;None;front_up;None;None;front_up;None;None
Squat_Error3;None;None;None;None;None;None;None;left;None;None;None;None;None;None;None;None;None;None
Squat_Error3;None;None;None;None;None;None;None;left;None;None;None;None;None;None;None;None;None;None
Squat_Error3;None;None;None;None;None;None;None;left;None;None;None;None;None;None;None;None;None;None
Lunge_Error1;back;None;front;front;front;front;front_down;front;front;front;front;front;back;up;None;back;up;None
Lunge_Error1;None;front;front;front;front;front;front_down;front;front;front;front;front;None;None;None;None;None;None
Lunge_Error1;None;front;front;front;front;front;front_down;front;front;front;front;front;None;None;None;None;None;None
Lunge_Error1;None;front;front;front;front;front;front_down;front;front;front;front;front;None;None;None;None;None;None
Lunge_Error2;front;front;front;front;front;front;front_down;front;front;front;front;front;front;down;None;front;down;None
Lunge_Error2;front;front;front;front;front;front;front;front;front;front;None;front;front;down;None;front;down;None
Lunge_Error2;front;front;front;front;front;front;down;None;front;front;None;front;front;down;None;front;down;None
Lunge_Error2;front;front;front;front;None;None;None;None;down;down;None;None;front;down;None;front;down;None
Lunge_Error3;up;up;up;up;up;up;front;right_up;up;up;up;up;up;None;None;up;None;None
Lunge_Error3;up;up;up;up;up;up;up;right;up;up;up;up;up;None;None;up;None;None
Lunge_Error3;up;up;up;up;up;up;up;right_up;up;up;up;up;up;None;None;up;None;None
Lunge_Error3;up;up;up;up;up;up;None;right_up;up;up;up;up;up;None;None;up;None;None
Pushup_Error1;back_up;back_up;back_up;back;back;back;left_down;None;back;back;None;None;back_up;back_up;back;back_up;back_up;back
Pushup_Error1;back_up;back_up;back_up;back;back;back;left_down;None;back;back;None;None;back_up;back_up;back;back_up;back_up;back
Pushup_Error1;back;back;back;back;back;back;None;None;back;back;None;None;back;back;back;back;back;back
Pushup_Error2;back;back;back;back;back;back;right_down;None;back;back;front_left;None;back;None;None;back;None;None
Pushup_Error2;back;back;back;back;back;back;right_down;None;back;back;front_left;None;back;None;None;back;None;None
Pushup_Error2;back;back;back;back;back;back;down;None;back;back;front_left;None;back;back;None;back;back;None
Pushup_Error2;back;back;back;back;back;back;down;None;back;back;front_left;None;back;back;None;back;back;None
Pushup_Error3;up;up;up;up;up;up;down;None;up;up;None;None;up;None;None;up;None;None
Pushup_Error3;up;up;up;up;up;up;down;None;up;up;None;None;up;None;None;up;None;None
Pushup_Error3;up;up;up;up;up;up;down;None;up;up;None;None;up;None;None;up;None;None
Pushup_Error3;up;up;up;up;up;up;down;None;up;up;None;None;up;None;None;up;None;None
Squat_Error1;left;left_down;front;front;front_down;front_down;front_left_down;front_down;front_down;front_down;front_down;front_down;left;None;None;left;None;None
Squat_Error1;None;None;front;front;front;front;front;front;front;front;front;front;None;back;None;None;back;None
Squat_Error2;None;front;front;front;front;front;front;front;front;front;front;front;None;left;None;None;left;None
Squat_Error2;None;front;front;front;front;front;front;front;front;front;front;front_down;None;None;None;None;None;None
Squat_Error2;None;None;front;front;front;front;front;front;front;front;front;front;None;None;None;None;None;None
Squat_Error2;None;front;front;front;front;front;front;front;front;front;front;front;None;left;None;None;left;None
Squat_Error3;up;up;up;up;up;up;front_left_up;left;up;up;None;front;up;back;None;up;back;None
Squat_Error3;None;None;None;None;None;None;left;left;None;None;None;None;None;None;None;None;None;None
Squat_Error3;None;None;None;None;None;None;front;left;None;None;None;None;None;None;None;None;None;None
Squat_Error3;None;None;None;None;None;None;left;left;None;None;None;None;None;None;None;None;None;None
Squat_Error3;front_up;up;up;up;up;up;left_up;left;up;up;up;up;front_up;back_up;None;front_up;back_up;None
Lunge_Error1;back;front;front;front;front_down;front_down;front_down;front_down;front_down;front;front;front;back;back_up;None;back;back_up;None
Lunge_Error1;None;front;front;front;front;front;front_down;front;front;front;front;front;None;None;None;None;None;None
Lunge_Error1;None;front;front;front;front;front;front_down;front;front;front;front;front;None;None;None;None;None;None
Lunge_Error2;up;up;up;up;up;up;up;up;up;up;up;up;up;back;None;up;back;None
Lunge_Error2;front_down;front_down;front_down;front_down;front_down;front_down;down;front_down;front_down;front;None;front;front_down;down;None;front_down;down;None
Lunge_Error2;front;front;front_down;down;down;down;down;front_down;down;front;None;front;front;down;None;front;down;None
Lunge_Error2;front_down;down;down;down;down;down;None;down;down;down;down;down;front;down;None;front;down;None
Lunge_Error2;front;front;front;front;front;front;front;front;front;front;front;front;front;down;None;front;down;None
Lunge_Error3;up;up;up;up;up;up;up;front_up;up;up;up;None;up;None;None;up;None;None
Lunge_Error3;left;left;left;left;left;left;left;left;left;left;None;left;left;left;None;left;left;None
Lunge_Error3;up;up;up;up;up;up;up;None;up;up;None;None;up;right;None;up;right;None
Lunge_Error3;up;up;up;up;up;up;up;None;up;up;None;None;up;None;None;up;None;None
Pushup_Error1;up;up;up;up;None;None;None;None;None;up;None;None;up;up;up;up;up;up
Pushup_Error1;down;down;down;down;down;down;down;None;down;down;None;None;down;None;up;down;None;up
Pushup_Error2;up;up;up;up;None;None;None;None;None;up;None;None;up;up;up;up;up;up
Pushup_Error2;up;up;up;up;None;None;None;None;None;up;None;None;up;up;up;up;up;up
Pushup_Error2;up;up;up;up;None;None;None;None;None;up;None;None;up;up;up;up;up;up
Pushup_Error3;up;up;up;up;None;None;None;None;None;None;None;None;up;up;up;up;up;up
Pushup_Error3;up;up;up;up;None;None;None;None;None;up;None;None;up;up;up;up;up;up
Pushup_Error3;back_up;up;up;up;up;up;back_down;None;up;up;None;right;back_up;None;back;back_up;None;back
Pushup_Error3;up;up;up;up;None;None;None;None;None;up;None;None;up;up;up;up;up;up
Squat_Error1;down;down;down;down;down;down;front_down;front_down;down;front_down;front_down;front_down;down;front_down;None;down;front_down;None
Squat_Error1;left;left;left;front_down;front_down;front_down;front_down;front_down;front_down;front_down;down;down;back_left;back;None;back_left;back;None
Squat_Error2;None;front;front;front;front;front;front;front;front;front;front_down;front_down;None;None;None;None;None;None
Squat_Error2;None;front;front;front;front;front;front;front;front;front;front;front;None;None;None;None;None;None
Squat_Error2;None;front;front;front;front;front;front;front;front;front;front;front;None;None;None;None;None;None
Squat_Error2;None;front;front;front_down;front_down;front_down;front_down;front_down;front_down;front_down;front_down;front_down;None;None;None;None;None;None
Squat_Error3;up;up;up;up;up;up;up;up;up;up;up;up;up;back;None;up;back;None
Squat_Error3;back;up;up;up;up;up;up;None;up;up;None;None;back;back_up;None;back;back_up;None
Squat_Error3;up;up;up;up;None;up;up;None;None;None;None;None;up;back;None;up;back;None
Squat_Error3;up;up;up;up;up;up;up;up;up;up;up;up;up;back;None;up;back;None
Lunge_Error1;None;front;front;front;front;front;front;front;front;front;front;left;None;None;None;None;None;None
Lunge_Error1;None;front;front;front;front;front;front;front;front;front;front;front;None;None;None;None;None;None
Lunge_Error1;None;front;front;front;front;front;front;front;front_down;front_down;None;front;None;None;None;None;None;None
Lunge_Error2;front_down;front;front;front_down;front_down;front_down;front_down;front_down;front_down;front_down;None;front;front_down;down;None;front_down;down;None
Lunge_Error2;front;front;front;front;front_down;front;front;front_down;front_down;front_down;None;front;front;down;None;front;down;None
Lunge_Error2;front;front;front;front;front;front;front;front;front;front;None;front;front;down;None;front;down;None
Lunge_Error2;front_down;front;front;front_down;front_down;front;front;front_down;front_down;front_down;None;front;front_down;down;None;front_down;down;None
Lunge_Error2;front_down;front_down;front_down;front_down;front_down;front_down;front_down;front_down;front_down;front_down;None;front;front_down;down;None;front_down;down;None
Lunge_Error3;up;back_up;back_up;up;up;up;up;up;up;up;back_up;back_up;up;back;None;up;back;None
Lunge_Error3;up;up;up;up;up;up;up;up;up;up;up;None;up;None;None;up;None;None
Lunge_Error3;up;up;up;up;up;up;up;up;up;up;up;front;up;None;None;up;None;None
Lunge_Error3;up;up;up;up;up;up;up;None;up;up;back_up;None;up;back;None;up;back;None
Lunge_Error3;back_up;up;up;up;up;up;up;None;up;None;None;None;back_up;back;None;back_up;back;None
Pushup_Error1;up;up;up;up;None;None;left;None;None;None;None;left;up;up;up;up;up;up
Pushup_Error1;down;down;down;None;None;None;None;None;None;None;down;down;down;down;down;down;down;down
Pushup_Error1;up;up;up;up;down;left;left;None;left_down;left;None;front_left;up;up;front_up;up;up;front_up
Pushup_Error2;back;back;back;back;back;back;front_down;None;back;back;left;left;back;back;back;back;back;back
Pushup_Error2;up;up;up;left_up;back_left;left;left;None;back_left;left;left;front_left;up;up;left_up;up;up;left_up
Pushup_Error3;back_up;up;up;up;up;up;down;None;up;back_up;left;None;back_up;back_up;back;back_up;back_up;back
Pushup_Error3;up;up;up;up;up;up;None;None;up;up;left;None;up;up;None;up;up;None
Pushup_Error3;back_up;back_up;up;up;up;up;front;None;back_up;back_up;left;None;back_up;back;back;back_up;back;back
Pushup_Error3;back_up;up;up;up;up;up;front;None;up;up;left;None;back_up;None;back;back_up;None;back
Squat_Error1;down;down;down;down;down;down;front_left;front;down;down;front_down;front_down;down;front_down;None;down;front_down;None
Squat_Error2;None;front;front;front;None;None;front;front;None;down;front;front_down;None;front;None;None;front;None
Squat_Error2;down;down;down;down;down;down;back;None;down;down;None;back;down;front_down;None;down;front_down;None
Squat_Error2;None;front;front;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None
Squat_Error3;front;front_up;up;up;back_up;back_up;back_up;back_up;back_up;back_up;back_up;back_up;front;back_up;None;front;back_up;None
Squat_Error3;None;front;front;None;None;None;left;None;None;None;None;None;None;None;None;None;None;None
Squat_Error3;None;front;front;down;down;down;None;None;down;down;None;None;None;None;None;None;None;None
Squat_Error3;None;front;front;down;down;down;None;None;down;down;None;None;None;None;None;None;None;None
Lunge_Error1;None;front;front;front;front;front;front_down;front;front;front;front;front;None;None;None;None;None;None
Lunge_Error1;None;front;front;front;front;front;front_down;front;front;front;front;front;None;None;None;None;None;None
Lunge_Error1;None;front;front;front;front;front;front_down;front;front_down;front;front;front;None;None;None;None;None;None
Lunge_Error2;front;front;front;front;front;front;front;front;front;front;front_right;front;front;down;None;front;down;None
Lunge_Error2;front;front;front;front;front;front;front;front;front;front;front_right;front;front;left_down;None;front;left_down;None
Lunge_Error2;front;front;front;front;front;front;front;front;front;front;front_right;front;front;front_left_down;None;front;front_left_down;None
Lunge_Error2;front;front;front;front;front;front;front;front_right;front;front;front_right;front;front;down;None;front;down;None
Lunge_Error3;up;up;up;up;up;up;up;up;up;up;up;front;up;None;None;up;None;None
Lunge_Error3;front;front;front;front;front;front;front;front_up;front;front;front_right;front;front;left;None;front;left;None
Lunge_Error3;front_up;front;front;front;front;front;front;front_up;front;front;front_right_up;front;front_up;left;None;front_up;left;None
Lunge_Error3;front_up;front;front;front;front_up;front;front;front_right_up;front_up;front_up;right_up;front;front_up;left;None;front_up;left;None
Pushup_Error1;back_up;up;back_up;back;back;back;down;None;back;back;None;front;back_up;up;back_up;back_up;up;back_up
Pushup_Error1;up;up;up;back;back;back;down;None;back;back;None;front;up;up;up;up;up;up
Pushup_Error1;back;back;back;back;back;back;back_down;None;back;back;back_left;None;back;back;None;back;back;None
Pushup_Error1;back;back;back;back;back;back;back_down;None;back;back;left;None;back;back;back;back;back;back
Pushup_Error2;None;None;None;None;None;None;front;None;None;None;front_left;None;None;None;None;None;None;None
Pushup_Error2;None;None;None;None;None;None;front;None;None;None;front_left;None;None;None;None;None;None;None
Pushup_Error2;None;None;None;None;None;None;front;None;None;None;front_left;front;None;None;None;None;None;None
Pushup_Error3;back_up;up;up;up;up;up;down;None;up;up;None;front;back_up;back;back;back_up;back;back
Pushup_Error3;back_up;up;up;up;up;up;down;None;up;up;None;front;back_up;None;back;back_up;None;back
Pushup_Error3;back;up;up;up;up;up;down;None;up;up;None;front;back;None;back;back;None;back
Pushup_Error3;None;up;up;up;up;up;down;None;up;up;None;front;None;None;None;None;None;None
Squat_Error1;back;None;front;front;front;front;front;front_down;front;front;front_down;front_down;back;back_up;None;back;back_up;None
Squat_Error1;None;front;front;front;front;front;front;front_down;front;front;front_down;front_down;None;None;None;None;None;None
Squat_Error3;up;up;up;up;up;up;front;front;None;up;None;None;up;back;None;up;back;None
Squat_Error3;up;up;up;up;up;up;front_up;front;up;up;None;None;up;back;None;up;back;None
